기준일,시간대구분,구분,총생활인구수
20240120,8,노원구,503915.9259
20240120,8,은평구,453006.038
20240120,8,서대문구,346555.9056
20240120,8,마포구,418653.6778
20240120,8,양천구,385639.4278
20240120,8,강서구,551586.8973
20240120,8,구로구,381845.0607
20240120,8,금천구,204222.723
20240120,8,영등포구,435274.0402
20240120,8,동작구,383347.8041
20240120,8,관악구,482161.4467
20240120,8,서초구,511612.3134
20240120,8,강남구,724639.1484
20240120,8,송파구,751992.9881
20240120,8,강동구,531143.971
20240120,9,종로구,236854.9839
20240120,9,중구,209776.2721
20240120,9,용산구,275483.3693
20240120,9,성동구,330966.2077
20240120,9,광진구,361513.3001
20240120,9,동대문구,346944.6648
20240120,9,중랑구,354446.2774
20240120,9,성북구,417187.2534
20240120,9,강북구,280606.2842
20240120,9,도봉구,268631.1634
20240120,9,노원구,497827.0481
20240120,9,은평구,440507.847
20240120,9,서대문구,343740.0752
20240120,9,마포구,423328.4874
20240120,9,양천구,383668.7361
20240120,9,강서구,546213.8906
20240120,9,구로구,375427.9975
20240120,9,금천구,202331.8319
20240120,9,영등포구,444952.1027
20240120,9,동작구,376417.0781
20240120,9,관악구,467845.694
20240120,9,서초구,545330.4024
20240120,9,강남구,776823.8935
20240120,9,송파구,753046.0776
20240120,9,강동구,519999.3421
20240120,10,종로구,257894.8125
20240120,10,중구,231851.229
20240120,10,용산구,279394.8838
20240120,10,성동구,327829.6514
20240120,10,광진구,360406.6576
20240120,10,동대문구,346156.8516
20240120,10,중랑구,345375.9124
20240120,10,성북구,407485.1598
20240120,10,강북구,275802.2272
20240120,10,도봉구,263984.8804
20240120,10,노원구,490788.1779
20240120,10,은평구,428832.2986
20240120,10,서대문구,341610.2639
20240120,10,마포구,433717.2077
